"","country","year","source","kg"
"1","denmark",1900,"animals",385
"2","denmark",1900,"humans",739
"3","denmark",1901,"animals",385
"4","denmark",1901,"humans",739
"5","denmark",1902,"animals",385
"6","denmark",1902,"humans",739
"7","denmark",1903,"animals",385
"8","denmark",1903,"humans",739
"9","denmark",1904,"animals",385
"10","denmark",1904,"humans",739
"11","denmark",1905,"animals",385
"12","denmark",1905,"humans",739
"13","denmark",1906,"animals",385
"14","denmark",1906,"humans",739
"15","denmark",1907,"animals",385
"16","denmark",1907,"humans",739
"17","denmark",1908,"animals",385
"18","denmark",1908,"humans",739
"19","denmark",1909,"animals",385
"20","denmark",1909,"humans",739
"21","denmark",1910,"animals",385
"22","denmark",1910,"humans",739
"23","denmark",1911,"animals",385
"24","denmark",1911,"humans",739
"25","denmark",1912,"animals",385
"26","denmark",1912,"humans",739
"27","denmark",1913,"animals",385
"28","denmark",1913,"humans",739
"29","denmark",1914,"animals",385
"30","denmark",1914,"humans",739
"31","denmark",1915,"animals",385
