"","country","year","source","kg"
"32","denmark",1915,"humans",739
"33","denmark",1916,"animals",385
"34","denmark",1916,"humans",739
"35","denmark",1917,"animals",385
"36","denmark",1917,"humans",739
"37","denmark",1918,"animals",385
"38","denmark",1918,"humans",739
"39","denmark",1919,"animals",385
"40","denmark",1919,"humans",739
"41","denmark",1920,"animals",385
"42","denmark",1920,"humans",739
"43","denmark",1921,"animals",385
"44","denmark",1921,"humans",739
"45","denmark",1922,"animals",385
"46","denmark",1922,"humans",739
"47","denmark",1923,"animals",385
"48","denmark",1923,"humans",739
"49","denmark",1924,"animals",385
"50","denmark",1924,"humans",739
"51","denmark",1925,"animals",385
"52","denmark",1925,"humans",739
"53","denmark",1926,"animals",385
"54","denmark",1926,"humans",739
"55","denmark",1927,"animals",385
"56","denmark",1927,"humans",739
"57","denmark",1928,"animals",385
"58","denmark",1928,"humans",739
"59","denmark",1929,"animals",385
"60","denmark",1929,"humans",739
"61","denmark",1930,"animals",385
"62","denmark",1930,"humans",739
"63","denmark",1931,"animals",385
"64","denmark",1931,"humans",739
"65","denmark",1932,"animals",385
"66","denmark",1932,"humans",739
"67","denmark",1933,"animals",385
"68","denmark",1933,"humans",739
"69","denmark",1934,"animals",385
"70","denmark",1934,"humans",739
"71","denmark",1935,"animals",385
"72","denmark",1935,"humans",739
"73","denmark",1936,"animals",385
"74","denmark",1936,"humans",739
"75","denmark",1937,"animals",385
"76","denmark",1937,"humans",739
"77","denmark",1938,"animals",385
"78","denmark",1938,"humans",739
"79","denmark",1939,"animals",385
"80","denmark",1939,"humans",739
"81","denmark",1940,"animals",385
"82","denmark",1940,"humans",739
"83","denmark",1941,"animals",385
"84","denmark",1941,"humans",739
